id_1,id_2,score,edge_type
781,3963,0.014584990143440757,ingr-ingr
722,4733,0.1651292414127442,ingr-ingr
1506,3169,0.21152832232067104,ingr-ingr
2603,6453,0.15038726415068868,ingr-ingr
1444,4821,0.3170623458355305,ingr-ingr
199,2646,0.3744102521006024,ingr-ingr
919,1773,0.21542972558864326,ingr-ingr
126,1729,0.17149229880898573,ingr-ingr
547,6646,0.1666299692985417,ingr-ingr
3492,4357,0.15886697896200766,ingr-ingr
3468,3482,0.21891732460546653,ingr-ingr
1504,1587,0.36425999845330187,ingr-ingr
2797,7035,0.09017115147150304,ingr-ingr
2396,2767,0.05823635331850674,ingr-ingr
2290,5190,0.1547050333849163,ingr-ingr
2179,6259,0.11661500067914835,ingr-ingr
3521,6172,0.04669869844284449,ingr-ingr
330,7056,0.2290221363549316,ingr-ingr
2740,3973,0.4083042728045264,ingr-ingr
499,1662,0.07238983546759331,ingr-ingr
939,1773,0.209165291474332,ingr-ingr
1376,5057,0.17837622198235414,ingr-ingr
470,6885,0.2219743033305317,ingr-ingr
5777,6434,0.2584359533532907,ingr-ingr
5580,6546,0.26278778020478355,ingr-ingr
2100,5099,0.12585194598407295,ingr-ingr
1648,2542,0.13854030537724202,ingr-ingr
2540,3645,0.17681450678015012,ingr-ingr
4236,4407,0.2521107784368795,ingr-ingr
267,953,0.11771281660479935,ingr-ingr
737,3651,0.26054369137478306,ingr-ingr
215,5759,0.13555190551220864,ingr-ingr
2031,2132,0.3976083843107836,ingr-ingr
3557,5777,0.27153941819893745,ingr-ingr
343,1559,0.20699410183206365,ingr-ingr
580,4478,0.12918112544048924,ingr-ingr
1591,4739,0.3922444682444868,ingr-ingr
2990,3965,0.3173134666563621,ingr-ingr
196,4440,0.27985097725064384,ingr-ingr
5441,5578,0.22331450070126016,ingr-ingr
1909,4076,0.08885265736378617,ingr-ingr
5748,6756,0.1379963561628211,ingr-ingr
2539,2956,0.2856641958027312,ingr-ingr
1993,2041,0.5548384969238902,ingr-ingr
1275,5725,0.11774908334109625,ingr-ingr
3125,5614,0.0628190672892393,ingr-ingr
371,5791,0.28539699211489017,ingr-ingr
1368,6398,0.1129249068247822,ingr-ingr
2837,5281,0.27372899136926043,ingr-ingr
5556,6091,0.2924735774410977,ingr-ingr
2454,5166,0.24479395626003184,ingr-ingr
4619,5376,0.1720841970199121,ingr-ingr
4596,6439,0.3630575468245318,ingr-ingr
4292,4364,0.3306671069834402,ingr-ingr
4697,6644,0.013926704917889695,ingr-ingr
3606,4619,0.16659847369408495,ingr-ingr
1020,5937,0.2865752309140647,ingr-ingr
5226,6486,0.3357130320735264,ingr-ingr
4116,6843,0.16123466479149134,ingr-ingr
104,1625,0.01967862727572875,ingr-ingr
1428,3290,0.055095868822120884,ingr-ingr
2239,6557,0.21437735419846474,ingr-ingr
1208,3965,0.1410675873096046,ingr-ingr
4071,6202,0.14432398970530705,ingr-ingr
2423,4348,0.2879948582869704,ingr-ingr
3605,4978,0.0442307489522456,ingr-ingr
6154,6829,0.2648955245486605,ingr-ingr
693,6295,0.2906166031234167,ingr-ingr
846,3527,0.3264184644358787,ingr-ingr
3491,6546,0.4216641853909189,ingr-ingr
1159,3826,0.2340039446853815,ingr-ingr
461,1115,0.39330819614222795,ingr-ingr
500,1077,0.2131660356288768,ingr-ingr
141,4924,0.3487355076832716,ingr-ingr
3691,4608,0.17442129189919225,ingr-ingr
4545,4905,0.15481308113522774,ingr-ingr
1426,6667,0.21806966790151508,ingr-ingr
1755,3228,0.15223427614467586,ingr-ingr
5310,5709,0.20713256641382288,ingr-ingr
276,3088,0.3823919170470001,ingr-ingr
46,5003,0.30705526542332195,ingr-ingr
294,1001,0.14297195057706233,ingr-ingr
365,2135,0.2299491702237193,ingr-ingr
3121,3209,0.2374553390507897,ingr-ingr
2132,6453,0.15663454898705814,ingr-ingr
313,5348,0.1531841253139382,ingr-ingr
1153,7026,0.09778159598954386,ingr-ingr
2968,5310,0.027966890133420096,ingr-ingr
1519,4297,0.15646537552554007,ingr-ingr
4272,5721,0.17653304868333114,ingr-ingr
5364,5803,0.13942214717439805,ingr-ingr
4072,5733,0.17807800385996989,ingr-ingr
3468,4904,0.2778278006246364,ingr-ingr
3201,3202,0.3873434826769409,ingr-ingr
5330,5997,0.13427197402062166,ingr-ingr
1563,7060,0.17265586437265038,ingr-ingr
2196,6646,0.03508208395162433,ingr-ingr
1363,3494,0.14268005837555273,ingr-ingr
1381,1937,0.19003031410632726,ingr-ingr
2690,2740,0.2099242858241055,ingr-ingr
1153,3236,0.1008758975575085,ingr-ingr
2059,5303,0.1548225589323006,ingr-ingr
2188,4190,0.025084255049655547,ingr-ingr
438,518,0.17121872616057204,ingr-ingr
2019,2503,0.0947415722132147,ingr-ingr
4266,5940,0.3129969422688557,ingr-ingr
1136,4011,0.5542459951775749,ingr-ingr
2188,2753,0.04236360454770456,ingr-ingr
1486,2517,0.15712636165849278,ingr-ingr
756,2200,0.1628349865580596,ingr-ingr
3162,5027,0.20514819571621684,ingr-ingr
1588,3775,0.32810658640172924,ingr-ingr
1934,1959,0.3146849691845128,ingr-ingr
329,6441,0.13642667410239026,ingr-ingr
1136,2390,0.41812233463185,ingr-ingr
1634,2509,0.2191409109097515,ingr-ingr
3587,6793,0.2966736001097678,ingr-ingr
1969,4172,0.2857449896840588,ingr-ingr
4576,5301,0.17171913165898872,ingr-ingr
4027,5737,0.2508875030214925,ingr-ingr
254,1645,0.2720096485499126,ingr-ingr
5478,5614,0.09114995540292442,ingr-ingr
3319,5997,0.27015564952835136,ingr-ingr
513,2188,0.09460144651692404,ingr-ingr
1588,4981,0.16604931348908608,ingr-ingr
4583,5851,0.08587227331314765,ingr-ingr
2560,4722,0.25805644498971764,ingr-ingr
410,5865,0.2075267004818629,ingr-ingr
153,2317,0.28335161536857945,ingr-ingr
425,1040,0.18064828191194007,ingr-ingr
4177,5603,0.17473493443322718,ingr-ingr
2499,4903,0.17664026049953985,ingr-ingr
4619,4661,0.19160326544258066,ingr-ingr
1598,1874,0.26159666692742817,ingr-ingr
2278,4421,0.18786806400855427,ingr-ingr
1371,6935,0.2914182769223066,ingr-ingr
3666,4621,0.2598607300314912,ingr-ingr
2563,3649,0.2894026513965325,ingr-ingr
2198,3095,0.13435378574595527,ingr-ingr
3060,3800,0.10795465324328726,ingr-ingr
2453,4439,0.2891490908921001,ingr-ingr
283,851,0.4344868843002303,ingr-ingr
5317,5805,0.15223204569544602,ingr-ingr
1916,3572,0.2085527509767269,ingr-ingr
6141,6829,0.2268028075367048,ingr-ingr
1200,1528,0.2259696824969645,ingr-ingr
2664,6427,0.2833301154635983,ingr-ingr
302,6222,0.16691241229782405,ingr-ingr
4675,6319,0.1862466480381451,ingr-ingr
5310,5472,0.1363593178051979,ingr-ingr
1849,4485,0.07347986724173926,ingr-ingr
971,3459,0.3295731391878557,ingr-ingr
1503,4977,0.2327810776306217,ingr-ingr
1625,4667,0.12550599721360242,ingr-ingr
3185,3383,0.23277370819655346,ingr-ingr
1364,3493,0.2502956031046843,ingr-ingr
3074,4920,0.2647988854240433,ingr-ingr
525,4116,0.11942798397394133,ingr-ingr
1411,2331,0.16907028651533873,ingr-ingr
2471,5737,0.2611021777757132,ingr-ingr
6108,6711,0.07184453607624787,ingr-ingr
66,5310,0.13664665877913024,ingr-ingr
5348,5521,0.20686017121730724,ingr-ingr
2974,3016,0.04543123847414689,ingr-ingr
