id_1,id_2,score,edge_type
61,103,0.3035663122208421,ingr-ingr
1358,4848,0.2017688200528573,ingr-ingr
216,6476,0.123164728609599,ingr-ingr
3072,4269,0.2434586682678399,ingr-ingr
618,3020,0.1093598809633334,ingr-ingr
652,5522,0.1584105664504202,liqr-ingr
2508,3492,0.2090352127505429,ingr-ingr
113,2188,0.0718081707746643,ingr-ingr
1360,5108,0.330296071802351,ingr-ingr
1837,4478,0.057032810174121,ingr-ingr
3355,5442,0.2877437345487053,ingr-ingr
461,6463,0.3299015179545281,ingr-ingr
6232,7029,0.3311477823646358,ingr-ingr
2589,6022,0.3016256811685252,ingr-ingr
2257,2469,0.1824305525418468,ingr-ingr
499,2524,0.0594282594211335,ingr-ingr
158,4590,0.1402302696894436,ingr-ingr
2382,4935,0.1843279447730677,ingr-ingr
5610,6159,0.1926512893720414,ingr-ingr
341,6166,0.142672191851158,ingr-ingr
2690,6129,0.2012650430027362,ingr-ingr
5267,6379,0.059562031796562,ingr-ingr
2787,4494,0.0916101590897681,ingr-ingr
1102,5803,0.0959303090192206,ingr-ingr
823,6238,0.1504471828626243,ingr-ingr
1848,2152,0.1294133014753047,liqr-ingr
3605,3648,0.1710434604100461,ingr-ingr
3091,4733,0.1105354398441498,ingr-ingr
3727,3840,0.123822067747383,ingr-ingr
1910,3066,0.2241957921535444,ingr-ingr
4620,5919,0.1999218287032425,ingr-ingr
158,671,0.1391225373434522,ingr-ingr
1122,6828,0.3034483203202808,ingr-ingr
1217,5244,0.20583809728838,ingr-ingr
279,3334,0.3349515813482493,ingr-ingr
6486,6795,0.3247976011087381,ingr-ingr
302,4567,0.1686817717862172,ingr-ingr
5139,6290,0.1743461978402108,ingr-ingr
1768,5709,0.1083136950620319,ingr-ingr
5803,6283,0.1523157529010158,ingr-ingr
3763,6717,0.1627820173027111,ingr-ingr
2392,5317,0.083825210944999,ingr-ingr
781,4443,0.0113755523159615,ingr-ingr
2198,2823,0.208782737704774,ingr-ingr
2454,5704,0.4216584609545268,ingr-ingr
1659,4773,0.3129630484195639,ingr-ingr
2827,4754,0.4318753916702909,ingr-ingr
3581,5775,0.2066633292623639,ingr-ingr
1184,4733,0.0672958958345384,ingr-ingr
3470,5064,0.2376675219505633,ingr-ingr
3888,6310,0.1134350143257384,ingr-ingr
340,4204,0.0349268951887798,ingr-ingr
1048,5565,0.2645775932991143,ingr-ingr
2582,4813,0.1489907363954598,ingr-ingr
3052,4921,0.1734493523917708,ingr-ingr
1118,3582,0.3664577586707979,ingr-ingr
4196,6318,0.2788446853239312,ingr-ingr
1474,4298,0.153193939137468,ingr-ingr
3938,5376,0.265462908015687,ingr-ingr
2385,3158,0.1617544346577948,ingr-ingr
6330,6545,0.3045071659785489,ingr-ingr
6172,6235,0.1032585172330874,ingr-ingr
6277,6902,0.2009097171663199,ingr-ingr
4627,7100,0.3650661287972279,ingr-ingr
143,4421,0.1587808203529924,ingr-ingr
547,3747,0.2294990745812229,ingr-ingr
529,1381,0.1471772007620232,ingr-ingr
1225,2944,0.2045266945508957,ingr-ingr
406,410,0.2178059738170743,ingr-ingr
618,5700,0.1441368054608899,ingr-ingr
1740,6649,0.2897332919190811,ingr-ingr
3075,3346,0.2318831086010071,ingr-ingr
3450,3545,0.219870683184423,ingr-ingr
2901,4912,0.411169112889547,ingr-ingr
1952,5582,0.3572628209716895,ingr-ingr
4087,7035,0.116079470510393,ingr-ingr
4981,5747,0.1908636972796979,ingr-ingr
3303,4008,0.3628783531596854,ingr-ingr
1225,1882,0.2179841537964557,ingr-ingr
3758,3772,0.2853747378764807,ingr-ingr
2904,6931,0.2357077008240283,ingr-ingr
